"device_id","datetime","CO","status1","CO2","status2","NOx","status3","O3","status4","PM2_5","status5","AQHI","status6","NO2","status7","NO","status8"
"30005","2018-02-01 06:17:22","230.012",NULL,NULL,NULL,NULL,NULL,"26.3353",NULL,"20.73",NULL,NULL,NULL,"2.94026",NULL,"8.68745",NULL
"30005","2018-02-01 06:19:24","243.022",NULL,NULL,NULL,NULL,NULL,"26.2405",NULL,"20.28",NULL,NULL,NULL,"2.78272",NULL,"8.39947",NULL
"30005","2018-02-01 06:20:22","240.662",NULL,NULL,NULL,NULL,NULL,"26.4884",NULL,"20.7",NULL,NULL,NULL,"3.01319",NULL,"8.39018",NULL
"30005","2018-02-01 06:24:22","243.136",NULL,NULL,NULL,NULL,NULL,"27.054",NULL,"16.68",NULL,NULL,NULL,"3.35839",NULL,"8.31692",NULL
"30005","2018-02-01 06:26:22","252.822",NULL,NULL,NULL,NULL,NULL,"26.5086",NULL,"20.12",NULL,NULL,NULL,"4.00589",NULL,"8.55255",NULL
"30005","2018-02-01 07:01:23","232.134",NULL,NULL,NULL,NULL,NULL,"24.5243",NULL,"20.81",NULL,NULL,NULL,"5.20894",NULL,"8.39701",NULL
"30005","2018-02-01 07:02:22","228.562",NULL,NULL,NULL,NULL,NULL,"24.1522",NULL,"23.06",NULL,NULL,NULL,"5.07426",NULL,"8.41307",NULL
"30005","2018-02-01 07:06:22","245.294",NULL,NULL,NULL,NULL,NULL,"24.0483",NULL,"21.96",NULL,NULL,NULL,"6.05677",NULL,"8.75619",NULL
"30005","2018-02-01 07:09:22","240.646",NULL,NULL,NULL,NULL,NULL,"23.6641",NULL,"21.36",NULL,NULL,NULL,"5.8592",NULL,"8.83442",NULL
"30005","2018-02-01 07:10:24","250.385",NULL,NULL,NULL,NULL,NULL,"23.8806",NULL,"24.27",NULL,NULL,NULL,"6.05871",NULL,"9.44024",NULL
"30005","2018-02-01 07:12:22","233.969",NULL,NULL,NULL,NULL,NULL,"23.8266",NULL,"24.46",NULL,NULL,NULL,"5.5817",NULL,"9.06321",NULL
"30005","2018-02-01 07:16:22","230.864",NULL,NULL,NULL,NULL,NULL,"23.1079",NULL,"26.22",NULL,NULL,NULL,"5.93761",NULL,"9.04032",NULL
"30005","2018-02-01 07:24:24","239.055",NULL,NULL,NULL,NULL,NULL,"23.517",NULL,"23.26",NULL,NULL,NULL,"6.5855",NULL,"8.72898",NULL
"30005","2018-02-01 07:26:26","239.256",NULL,NULL,NULL,NULL,NULL,"24.1017",NULL,"23.53",NULL,NULL,NULL,"6.97385",NULL,"8.58247",NULL
"30005","2018-02-01 07:27:22","229.63",NULL,NULL,NULL,NULL,NULL,"23.8191",NULL,"20.16",NULL,NULL,NULL,"6.43522",NULL,"8.66933",NULL
"30005","2018-02-01 07:31:22","246.332",NULL,NULL,NULL,NULL,NULL,"23.2588",NULL,"25.03",NULL,NULL,NULL,"6.77305",NULL,"9.25557",NULL
"30005","2018-02-01 07:34:22","261.218",NULL,NULL,NULL,NULL,NULL,"22.7464",NULL,"25.44",NULL,NULL,NULL,"7.04785",NULL,"9.17548",NULL
"30005","2018-02-01 07:37:22","257.734",NULL,NULL,NULL,NULL,NULL,"23.4599",NULL,"23.92",NULL,NULL,NULL,"7.51046",NULL,"9.16122",NULL
"30005","2018-02-01 07:43:22","327.143",NULL,NULL,NULL,NULL,NULL,"27.4136",NULL,"27.09",NULL,NULL,NULL,"10.1787",NULL,"10.1619",NULL
"30005","2018-02-01 07:44:23","327.029",NULL,NULL,NULL,NULL,NULL,"27.4907",NULL,"25.35",NULL,NULL,NULL,"9.80538",NULL,"10.0658",NULL
"30005","2018-02-01 07:46:22","340.998",NULL,NULL,NULL,NULL,NULL,"28.9958",NULL,"23.22",NULL,NULL,NULL,"11.1318",NULL,"10.3133",NULL
"30005","2018-02-01 08:11:22","537.158",NULL,NULL,NULL,NULL,NULL,"33.4067",NULL,"23.79",NULL,NULL,NULL,"14.5608",NULL,"11.4096",NULL
"30005","2018-02-01 08:19:22","293.313",NULL,NULL,NULL,NULL,NULL,"24.9388",NULL,"24.91",NULL,NULL,NULL,"9.55663",NULL,"9.19612",NULL
"30005","2018-02-01 08:26:22","295.691",NULL,NULL,NULL,NULL,NULL,"25.1115",NULL,"26.17",NULL,NULL,NULL,"10.338",NULL,"10.8189",NULL
"30005","2018-02-01 08:28:24","301.112",NULL,NULL,NULL,NULL,NULL,"25.4228",NULL,"29.4",NULL,NULL,NULL,"10.1055",NULL,"10.9254",NULL
"30005","2018-02-01 08:29:22","286.402",NULL,NULL,NULL,NULL,NULL,"24.741",NULL,"29",NULL,NULL,NULL,"9.59368",NULL,"10.693",NULL
"30005","2018-02-01 08:32:22","272.269",NULL,NULL,NULL,NULL,NULL,"24.5754",NULL,"25.85",NULL,NULL,NULL,"9.27775",NULL,"9.83445",NULL
"30005","2018-02-01 08:33:22","264.528",NULL,NULL,NULL,NULL,NULL,"24.2576",NULL,"25.98",NULL,NULL,NULL,"8.98575",NULL,"9.91951",NULL
"30005","2018-02-01 08:38:25","265.132",NULL,NULL,NULL,NULL,NULL,"23.8147",NULL,"27.2",NULL,NULL,NULL,"9.27987",NULL,"9.35648",NULL
"30005","2018-02-01 08:39:22","272.853",NULL,NULL,NULL,NULL,NULL,"23.6901",NULL,"28.82",NULL,NULL,NULL,"9.52412",NULL,"10.8923",NULL
"30005","2018-02-01 08:40:22","266.462",NULL,NULL,NULL,NULL,NULL,"23.4792",NULL,"28.76",NULL,NULL,NULL,"9.05254",NULL,"9.76073",NULL
"30005","2018-02-01 08:42:22","269.823",NULL,NULL,NULL,NULL,NULL,"23.5422",NULL,"26.51",NULL,NULL,NULL,"9.30027",NULL,"10.1755",NULL
"30005","2018-02-01 08:47:22","303.484",NULL,NULL,NULL,NULL,NULL,"24.7572",NULL,"28.67",NULL,NULL,NULL,"10.8786",NULL,"10.3731",NULL
"30005","2018-02-01 08:49:22","272.55",NULL,NULL,NULL,NULL,NULL,"24.2406",NULL,"28.21",NULL,NULL,NULL,"9.87778",NULL,"10.7753",NULL
"30005","2018-02-01 08:50:22","241.162",NULL,NULL,NULL,NULL,NULL,"23.4795",NULL,"24.79",NULL,NULL,NULL,"9.24439",NULL,"9.3208",NULL
"30005","2018-02-01 08:53:22","294.902",NULL,NULL,NULL,NULL,NULL,"28.9793",NULL,"25.82",NULL,NULL,NULL,"11.0828",NULL,"9.11557",NULL
